Date,Open,High,Low,Close,Adj Close,Volume
2015-01-12,5.470090,5.654180,5.447290,5.591060,5.461976,32148620
2015-01-13,5.564760,5.840020,5.564760,5.768140,5.634966,65214226
2015-01-14,5.741840,5.862810,5.627880,5.636640,5.506503,32021620
2015-01-15,5.645410,5.734820,5.578790,5.636640,5.506503,20598584
2015-01-16,5.634890,5.662940,5.470090,5.627880,5.497945,33414647
2015-01-19,5.538460,5.785670,5.435020,5.605080,5.475671,42627480
2015-01-20,5.603330,5.854040,5.522680,5.799690,5.665788,48528568
2015-01-21,5.820730,6.171380,5.820730,6.094240,5.953538,70049500
2015-01-22,6.101250,6.138070,5.976770,6.092480,5.951818,34957209
2015-01-23,6.039890,6.099500,5.785670,5.847030,5.712036,40789373
2015-01-26,5.871580,6.166120,5.847030,6.110020,5.968954,35286863
2015-01-27,6.092480,6.255530,5.996060,6.202940,6.059728,31700054
2015-01-28,6.104760,6.202940,6.050410,6.085470,5.944970,26437655
2015-01-29,6.048650,6.048650,5.890860,5.960990,5.823364,21166004
2015-01-30,5.996060,6.013590,5.869820,5.873330,5.737728,18425107
2015-02-02,5.785670,6.006580,5.785670,5.959240,5.821654,15734232
2015-02-03,6.027610,6.129300,6.008330,6.092480,5.951818,21600727
2015-02-04,6.092480,6.166120,5.980280,5.994300,5.855905,20101827
2015-02-05,5.960990,6.031120,5.712030,5.724300,5.592138,37943378
2015-02-06,5.683980,5.871580,5.683980,5.785670,5.652092,23179765
2015-02-09,5.850540,5.871580,5.698010,5.719040,5.587000,18868055
2015-02-10,5.750600,5.880340,5.734820,5.873330,5.737728,26206077
2015-02-11,5.868070,5.908390,5.804950,5.901380,5.765131,22291166
2015-02-12,5.959240,6.153850,5.957480,6.083720,5.943261,26698128
2015-02-13,6.101250,6.145080,6.067940,6.078460,5.938122,24859051
2015-02-16,6.078460,6.574620,6.078460,6.525530,6.374870,48317415
2015-02-17,6.618450,6.728910,6.455400,6.537800,6.386857,26138453
2015-02-25,6.581640,6.697350,6.358970,6.558840,6.407411,28301253
2015-02-26,6.539560,6.539560,6.401050,6.486960,6.337191,17062139
2015-02-27,6.574620,6.778000,6.574620,6.664040,6.510182,24999763
